post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vo89za,0,,2,59,63,62,63,61,63,,,,,,,,,,,,,,,,,,,,,,
vo89zc,0,,1,22,22,23,23,25,23,,,,,,,,,,,,,,,,,,,,,,
vo89zd,1,,2,20,22,22,24,22,24,,,,,,,,,,,,,,,,,,,,,,
vp0qbk,0,,,1,4,5,5,5,5,5.0,,,,,,,,,,,,,,,,,,,,,
vp0qbm,0,,,2,10,10,11,12,10,11.0,,,,,,,,,,,,,,,,,,,,,
vp0qbn,0,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,,,
vp0qbq,1,,,2,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,,,
vp0qbs,1,,,2,369,369,372,374,372,373.0,,,,,,,,,,,,,,,,,,,,,
vp0qbt,0,,,1,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,,
vp0qbw,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qbx,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qby,0,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qc1,0,,,1,9,8,9,7,9,8,,,,,,,,,,,,,,,,,,,,,
vp0qc6,0,,,1,5,3,4,5,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qc8,1,,,2,34,36,36,39,38,36,,,,,,,,,,,,,,,,,,,,,
vp0qcf,0,,,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qcj,0,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qcl,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qcm,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qco,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qcv,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qcz,0,,,2,1430,1435,1442,1442,1453,1448,,,,,,,,,,,,,,,,,,,,,
vp0qd7,1,,,2,25,27,29,30,28,30,,,,,,,,,,,,,,,,,,,,,
vp0qdc,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qde,0,,,1,236,238,238,238,235,239,,,,,,,,,,,,,,,,,,,,,
vp0qdi,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qdl,1,,,3,286,288,295,294,293,291,,,,,,,,,,,,,,,,,,,,,
vp0qdp,1,,,2,189,202,203,204,202,202,,,,,,,,,,,,,,,,,,,,,
vp0qdr,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qdw,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qe0,0,,,1,2,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qe2,0,,,3,179,181,182,181,185,188,,,,,,,,,,,,,,,,,,,,,
vp0qe6,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qec,0,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
vp0qeh,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qej,0,,,2,117,117,119,117,118,118,,,,,,,,,,,,,,,,,,,,,
vp0qel,1,,,2,3,2,4,4,6,4,,,,,,,,,,,,,,,,,,,,,
vp0qer,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qes,0,,,2,125,134,136,143,140,139,,,,,,,,,,,,,,,,,,,,,
vp0qew,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qez,1,,,2,9,12,12,13,12,13,,,,,,,,,,,,,,,,,,,,,
vp0qf1,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qf2,0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qfi,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qfj,1,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qfk,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qfl,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qfq,1,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qfr,0,,,1,3,4,3,4,4,4,,,,,,,,,,,,,,,,,,,,,
vp0qfv,0,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
vp0qfy,1,,,3,7,10,9,8,10,9,,,,,,,,,,,,,,,,,,,,,
vp0qg1,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qg2,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qg3,0,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qg5,-1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,
vp0qg6,1,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,
vp0qg7,1,,,4,25,30,30,29,29,29,,,,,,,,,,,,,,,,,,,,,
vp0qg8,1,,,2,41,40,41,40,40,41,,,,,,,,,,,,,,,,,,,,,
vp0qg9,1,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,
