post_id,treatment,2022-06-29,2022-06-30,2022-07-01,2022-07-02,2022-07-03,2022-07-04,2022-07-05,2022-07-06,2022-07-07,2022-07-08,2022-07-09,2022-07-10,2022-07-11,2022-07-12,2022-07-13,2022-07-14,2022-07-15,2022-07-16,2022-07-17,2022-07-18,2022-07-19,2022-07-20,2022-07-21,2022-07-22,2022-07-23,2022-07-24,2022-07-25,2022-07-26,2022-07-27,2022-07-28
vprotg,0,,,,2,104,109,109,110,111,110,,,,,,,,,,,,,,,,,,,,
vprotj,1,,,,2,7,7,8,6,5,6,,,,,,,,,,,,,,,,,,,,
vprots,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprott,1,,,,2,73,73,75,72,70,70,,,,,,,,,,,,,,,,,,,,
vprou1,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprou6,1,,,,2,6,5,7,5,4,5,,,,,,,,,,,,,,,,,,,,
vprou9,1,,,,1,3,2,2,3,3,2,,,,,,,,,,,,,,,,,,,,
vproud,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproug,1,,,,3,1647,1672,1667,1685,1685,1686,,,,,,,,,,,,,,,,,,,,
vprouh,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproum,1,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vproun,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproup,0,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprouq,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vproux,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprov0,0,,,,1,41,44,47,48,45,50,,,,,,,,,,,,,,,,,,,,
vprov3,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprov4,0,,,,1,15,16,16,16,15,17,,,,,,,,,,,,,,,,,,,,
vprov7,0,,,,8,176,177,179,176,178,181,,,,,,,,,,,,,,,,,,,,
vprovc,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprovf,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprovh,1,,,,3,10,7,8,7,9,10,,,,,,,,,,,,,,,,,,,,
vprovl,1,,,,2,20,21,22,21,22,23,,,,,,,,,,,,,,,,,,,,
vprovo,0,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprovq,0,,,,1,6,9,8,8,8,8,,,,,,,,,,,,,,,,,,,,
vprovr,0,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
vprovs,0,,,,1,10,9,10,10,10,11,,,,,,,,,,,,,,,,,,,,
vprovt,0,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vprovw,1,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,,
vprow0,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprow1,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprow3,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprow6,0,,,,2,84,84,85,85,86,86,,,,,,,,,,,,,,,,,,,,
vprow9,0,,,,1,14,13,13,13,14,15,,,,,,,,,,,,,,,,,,,,
vprowh,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprowj,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprowk,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprowl,1,,,,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,
vprowt,1,,,,2,4,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,
vprowv,1,,,,2,11,13,12,13,14,12,,,,,,,,,,,,,,,,,,,,
vprox0,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprox1,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprox4,0,,,,1,24,25,24,25,24,24,,,,,,,,,,,,,,,,,,,,
vprox7,1,,,,3,74,86,91,93,94,97,,,,,,,,,,,,,,,,,,,,
vprox9,1,,,,2,108,115,111,109,115,117,,,,,,,,,,,,,,,,,,,,
vproxe,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vproxj,0,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
vproxn,-1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproxv,1,,,,5,82,129,145,145,143,141,,,,,,,,,,,,,,,,,,,,
vproxy,0,,,,1,6,6,6,6,7,5,,,,,,,,,,,,,,,,,,,,
vproy0,1,,,,4,1062,1090,1099,1104,1113,1118,,,,,,,,,,,,,,,,,,,,
vproy8,1,,,,3,11,13,13,12,12,11,,,,,,,,,,,,,,,,,,,,
vproyd,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproye,1,,,,2,21,22,24,23,25,27,,,,,,,,,,,,,,,,,,,,
vproym,0,,,,1,27,28,27,28,27,25,,,,,,,,,,,,,,,,,,,,
vproyn,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vproyp,1,,,,2,2,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproys,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproyy,1,,,,2,68,71,69,74,71,70,,,,,,,,,,,,,,,,,,,,
vproz4,0,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vproz5,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vproz8,1,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vproz9,0,,,,5,85,90,89,95,93,96,,,,,,,,,,,,,,,,,,,,
vprozb,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprozc,1,,,,4,18,17,18,17,17,17,,,,,,,,,,,,,,,,,,,,
vprozj,1,,,,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprozk,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprozo,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprozr,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprozt,1,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
vprozw,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprozz,1,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,
vprp03,1,,,,4,5,5,5,5,5,6,,,,,,,,,,,,,,,,,,,,
vprp06,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp07,0,,,,0,396,397,407,399,404,405,,,,,,,,,,,,,,,,,,,,
vprp08,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp09,0,,,,1,18,20,20,21,20,19,,,,,,,,,,,,,,,,,,,,
vprp0g,0,,,,2,3,3,4,2,4,3,,,,,,,,,,,,,,,,,,,,
vprp0h,0,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprp0i,1,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprp0j,1,,,,2,3,4,4,3,3,2,,,,,,,,,,,,,,,,,,,,
vprp0r,1,,,,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp0x,0,,,,1,10,10,12,13,13,13,,,,,,,,,,,,,,,,,,,,
vprp0y,1,,,,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,
vprp16,0,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,
vprp1b,0,,,,2,127,130,135,133,133,133,,,,,,,,,,,,,,,,,,,,
vprp1c,1,,,,3,64,61,63,63,61,64,,,,,,,,,,,,,,,,,,,,
vprp1f,1,,,,2,11,11,12,11,11,12,,,,,,,,,,,,,,,,,,,,
vprp1h,-1,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp1i,0,,,,1,97,94,98,97,94,100,,,,,,,,,,,,,,,,,,,,
vprp1l,1,,,,3,33,35,35,36,33,37,,,,,,,,,,,,,,,,,,,,
vprp1m,1,,,,3,7,11,12,11,10,8,,,,,,,,,,,,,,,,,,,,
vprp1q,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp1u,0,,,,1,14,22,24,31,36,40,,,,,,,,,,,,,,,,,,,,
vprp24,1,,,,2,29,30,28,32,34,33,,,,,,,,,,,,,,,,,,,,
vprp28,0,,,,6,7,7,6,9,8,6,,,,,,,,,,,,,,,,,,,,
vprp2c,1,,,,5,10,14,14,14,13,13,,,,,,,,,,,,,,,,,,,,
vprp2e,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp2f,0,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
vprp2h,1,,,,2,86,84,85,85,86,88,,,,,,,,,,,,,,,,,,,,
vqhiad,1,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,,,,
vqhiae,0,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,
vqhiag,0,,,,,3,7,7,6,6,7,6.0,,,,,,,,,,,,,,,,,,,
vqhiam,0,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,
vqhiau,0,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,
vqhib1,0,,,,,2,236,241,240,243,244,244.0,,,,,,,,,,,,,,,,,,,
vqhib3,0,,,,,0,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,,
vqhib4,0,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,
vqhib5,1,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,,,,
vqhiba,1,,,,,2,4,5,5,5,6,5.0,,,,,,,,,,,,,,,,,,,
vqhibe,1,,,,,2,9,7,6,7,10,7.0,,,,,,,,,,,,,,,,,,,
vqhibg,0,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,,
vqhibl,1,,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,
vqhibn,1,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhibo,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhibq,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhic0,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhic4,1,,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,
vqhic8,1,,,,,2,305,307,309,313,314,311,,,,,,,,,,,,,,,,,,,
vqhica,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhicc,0,,,,,2,159,165,164,168,166,172,,,,,,,,,,,,,,,,,,,
vqhich,0,,,,,1,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,
vqhicj,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhick,0,,,,,1,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,
vqhicn,0,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhicq,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhicr,1,,,,,3,5,4,2,4,6,3,,,,,,,,,,,,,,,,,,,
vqhicx,0,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhid3,1,,,,,2,100,99,101,97,97,98,,,,,,,,,,,,,,,,,,,
vqhid4,1,,,,,2,26,27,28,28,27,27,,,,,,,,,,,,,,,,,,,
vqhid5,1,,,,,2,51,50,54,57,55,56,,,,,,,,,,,,,,,,,,,
vqhida,0,,,,,1,5,6,6,7,5,7,,,,,,,,,,,,,,,,,,,
vqhidd,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhidi,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhidp,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhidt,1,,,,,5,1040,1058,1066,1067,1067,1075,,,,,,,,,,,,,,,,,,,
vqhidv,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhidz,1,,,,,3,52,51,59,61,62,68,,,,,,,,,,,,,,,,,,,
vqhie0,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhie1,1,,,,,3,38,42,41,40,43,46,,,,,,,,,,,,,,,,,,,
vqhie2,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhie3,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhie4,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhie6,0,,,,,1,4,0,0,1,2,3,,,,,,,,,,,,,,,,,,,
vqhie9,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhieb,1,,,,,5,7,8,7,9,9,8,,,,,,,,,,,,,,,,,,,
vqhied,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhief,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhieh,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhiek,1,,,,,3,227,226,230,228,227,231,,,,,,,,,,,,,,,,,,,
vqhiel,0,,,,,1,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,
vqhiem,0,,,,,1,7,8,7,8,7,7,,,,,,,,,,,,,,,,,,,
vqhieo,0,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhiep,0,,,,,1,68,69,68,72,72,72,,,,,,,,,,,,,,,,,,,
vqhieu,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhiew,1,,,,,3,44,43,43,44,43,41,,,,,,,,,,,,,,,,,,,
vqhiex,0,,,,,2,35,34,36,33,37,36,,,,,,,,,,,,,,,,,,,
vqhiey,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhiez,1,,,,,2,8,8,8,5,5,7,,,,,,,,,,,,,,,,,,,
vqhif3,0,,,,,7,61,67,65,63,66,65,,,,,,,,,,,,,,,,,,,
vqhif4,1,,,,,3,2670,2693,2706,2708,2712,2715,,,,,,,,,,,,,,,,,,,
vqhif5,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhifb,0,,,,,4,83,83,85,89,87,91,,,,,,,,,,,,,,,,,,,
vqhifd,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhifi,1,,,,,2,5,6,5,5,5,6,,,,,,,,,,,,,,,,,,,
vqhifk,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhifl,0,,,,,2,263,265,269,270,267,271,,,,,,,,,,,,,,,,,,,
vqhifn,1,,,,,2,66,68,66,70,69,64,,,,,,,,,,,,,,,,,,,
vqhifp,1,,,,,2,143,148,152,151,150,155,,,,,,,,,,,,,,,,,,,
vqhifv,1,,,,,2,7,7,7,6,7,5,,,,,,,,,,,,,,,,,,,
vqhig0,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhig4,1,,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,
vqhig8,1,,,,,2,90,91,92,89,92,94,,,,,,,,,,,,,,,,,,,
vqhigc,0,,,,,3,406,411,410,412,413,409,,,,,,,,,,,,,,,,,,,
vqhigg,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhigo,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhigq,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhih4,1,,,,,3,7,6,7,5,7,6,,,,,,,,,,,,,,,,,,,
vqhih6,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhih7,1,,,,,2,36,39,38,39,37,36,,,,,,,,,,,,,,,,,,,
vqhiha,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhihb,0,,,,,1,3,3,4,4,3,4,,,,,,,,,,,,,,,,,,,
vqhihc,0,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhihd,1,,,,,4,22,23,23,22,23,24,,,,,,,,,,,,,,,,,,,
vqhihe,0,,,,,1,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhihf,1,,,,,3,13,14,13,12,11,14,,,,,,,,,,,,,,,,,,,
vqhihk,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhii1,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhii2,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhii5,1,,,,,8,138,143,142,141,143,140,,,,,,,,,,,,,,,,,,,
vqhii7,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhiif,1,,,,,2,6,5,8,8,11,10,,,,,,,,,,,,,,,,,,,
vqhiih,0,,,,,0,2,2,2,2,3,2,,,,,,,,,,,,,,,,,,,
vqhiii,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhiik,1,,,,,2,18,15,17,16,17,18,,,,,,,,,,,,,,,,,,,
vqhiim,1,,,,,2,12,11,12,12,11,12,,,,,,,,,,,,,,,,,,,
vqhiio,0,,,,,1,8,5,7,5,8,6,,,,,,,,,,,,,,,,,,,
vqhiip,0,,,,,1,25,25,27,26,26,26,,,,,,,,,,,,,,,,,,,
vqhiir,0,,,,,1,6,5,3,4,4,5,,,,,,,,,,,,,,,,,,,
vqhiis,0,,,,,1,1,1,0,0,1,0,,,,,,,,,,,,,,,,,,,
vqhiiv,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhiiw,0,,,,,2,5,6,4,5,5,5,,,,,,,,,,,,,,,,,,,
vqhiiz,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhij1,1,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
vqhij3,1,,,,,2,13,12,15,14,14,14,,,,,,,,,,,,,,,,,,,
vqhij4,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhij5,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhij6,1,,,,,2,4,5,6,6,6,5,,,,,,,,,,,,,,,,,,,
vqhij8,0,,,,,4,104,110,107,110,108,105,,,,,,,,,,,,,,,,,,,
vqhija,0,,,,,2,265,269,272,280,282,283,,,,,,,,,,,,,,,,,,,
vqhijc,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhije,1,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhijf,0,,,,,1,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,
vqhijj,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhijl,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhijs,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhijt,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhik1,1,,,,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
vqhik5,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhik8,0,,,,,3,30,26,28,29,30,30,,,,,,,,,,,,,,,,,,,
vqhikc,0,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhikl,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhikr,1,,,,,3,36,37,37,39,38,41,,,,,,,,,,,,,,,,,,,
vqhikt,0,,,,,1,9,9,11,10,10,9,,,,,,,,,,,,,,,,,,,
vqhikw,1,,,,,1,26,19,22,19,19,25,,,,,,,,,,,,,,,,,,,
vqhil1,1,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhil8,1,,,,,3,0,1,1,1,1,0,,,,,,,,,,,,,,,,,,,
vqhila,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhilc,0,,,,,2,9,9,8,8,8,8,,,,,,,,,,,,,,,,,,,
vqhild,0,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhile,0,,,,,1,1,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
vqhilh,1,,,,,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhilj,0,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,
vqhilo,0,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhilr,0,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhim4,0,,,,,1,108,108,111,110,112,110,,,,,,,,,,,,,,,,,,,
vqhim5,0,,,,,12,204,219,223,223,222,230,,,,,,,,,,,,,,,,,,,
vqhimd,0,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
vqhiml,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vqhimo,1,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,
vqhimp,1,,,,,2,1,0,2,2,2,1,,,,,,,,,,,,,,,,,,,
vqhimq,0,,,,,1,4,3,5,3,4,4,,,,,,,,,,,,,,,,,,,
vqhimv,1,,,,,3,14,17,18,17,19,19,,,,,,,,,,,,,,,,,,,
vqhimw,0,,,,,1,16,15,20,22,19,19,,,,,,,,,,,,,,,,,,,
vqhin1,0,,,,,1,2,4,4,5,6,4,,,,,,,,,,,,,,,,,,,
vqhin2,1,,,,,2,5,5,5,4,5,6,,,,,,,,,,,,,,,,,,,
vqhin5,1,,,,,2,2,2,2,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,,
vqhin9,1,,,,,20,1809,1824,1827,1820,1823,1822,,,,,,,,,,,,,,,,,,,
vqhina,0,,,,,1,5,6,5,5,4,5,,,,,,,,,,,,,,,,,,,
vqhinf,0,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,
vr7bcq,1,,,,,,2,16,17,16,17,17,19.0,,,,,,,,,,,,,,,,,,
vr7bcu,0,,,,,,1,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,,,
vr7bcv,1,,,,,,2,3,4,3,4,3,3.0,,,,,,,,,,,,,,,,,,
vr7bd7,0,,,,,,1,14,13,12,15,12,12.0,,,,,,,,,,,,,,,,,,
vr7bdc,1,,,,,,3,0,0,0,1,0,1.0,,,,,,,,,,,,,,,,,,
vr7bdg,1,,,,,,2,3,3,3,3,3,3.0,,,,,,,,,,,,,,,,,,
vr7bdh,1,,,,,,2,6,7,9,10,11,11.0,,,,,,,,,,,,,,,,,,
vr7bdi,1,,,,,,3,162,160,163,164,165,162.0,,,,,,,,,,,,,,,,,,
vr7bdj,1,,,,,,2,0,0,0,0,0,0.0,,,,,,,,,,,,,,,,,,
vr7bdl,1,,,,,,2,18,22,25,27,29,29.0,,,,,,,,,,,,,,,,,,
vr7bdn,0,,,,,,1,2,2,3,5,2,3.0,,,,,,,,,,,,,,,,,,
vr7bdp,1,,,,,,1,1,1,1,1,1,1.0,,,,,,,,,,,,,,,,,,
vr7bdq,1,,,,,,2,2,2,2,2,2,2.0,,,,,,,,,,,,,,,,,,
vr7bdy,0,,,,,,1,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,
vr7be1,1,,,,,,2,5,5,5,4,5,5,,,,,,,,,,,,,,,,,,
vr7be3,0,,,,,,1,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,
vr7be5,0,,,,,,2,10,9,11,9,12,11,,,,,,,,,,,,,,,,,,
vr7bed,0,,,,,,4,75,80,78,79,83,82,,,,,,,,,,,,,,,,,,
vr7bei,0,,,,,,8,119,121,121,121,117,124,,,,,,,,,,,,,,,,,,
vr7bej,0,,,,,,4,9,10,9,10,9,8,,,,,,,,,,,,,,,,,,
vr7bem,0,,,,,,1,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7ben,1,,,,,,2,12,11,11,12,11,11,,,,,,,,,,,,,,,,,,
vr7beq,0,,,,,,1,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bew,1,,,,,,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bey,1,,,,,,2,8,7,7,8,7,9,,,,,,,,,,,,,,,,,,
vr7bf5,1,,,,,,2,2,2,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,
vr7bf9,0,,,,,,1,61,71,79,86,87,97,,,,,,,,,,,,,,,,,,
vr7bfg,1,,,,,,2,12,12,14,13,13,13,,,,,,,,,,,,,,,,,,
vr7bfh,0,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bfp,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bfv,1,,,,,,2,forbidden,forbidden,forbidden,forbidden,forbidden,forbidden,,,,,,,,,,,,,,,,,,
vr7bfw,1,,,,,,2,18,21,23,25,26,25,,,,,,,,,,,,,,,,,,
vr7bfy,0,,,,,,1,7,6,7,7,7,7,,,,,,,,,,,,,,,,,,
vr7bg6,0,,,,,,3,242,243,243,240,242,241,,,,,,,,,,,,,,,,,,
vr7bg7,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bg8,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bg9,1,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bgc,1,,,,,,10,187,208,217,221,226,229,,,,,,,,,,,,,,,,,,
vr7bgf,1,,,,,,2,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
vr7bgi,1,,,,,,3,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,
vr7bgj,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
vr7bgk,1,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,
vr7bgo,1,,,,,,2,5,3,4,4,3,5,,,,,,,,,,,,,,,,,,
vr7bgp,0,,,,,,2,11,11,12,10,11,11,,,,,,,,,,,,,,,,,,
vr7bgq,0,,,,,,1,3,4,4,4,4,4,,,,,,,,,,,,,,,,,,
vr7bgs,1,,,,,,2,1,2,1,3,2,3,,,,,,,,,,,,,,,,,,
vr7bgt,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bgv,1,,,,,,5,102,106,105,110,109,113,,,,,,,,,,,,,,,,,,
vr7bh3,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bha,0,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,
vr7bhe,0,,,,,,0,3,4,5,5,4,4,,,,,,,,,,,,,,,,,,
vr7bhh,1,,,,,,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,
